time,CloudTS_cpu,Cortex_cpu,CloudTS_mem,Cortex_mem
144,0.00276,0.0035,0.00275,0.00377
145,0.00268,0.00359,0.00272,0.00423
146,0.00267,0.00425,0.0028,0.00363
147,0.00253,0.00343,0.00313,0.00345
148,0.00251,0.00254,0.00265,0.00543
149,0.00291,0.00373,0.00294,0.00361
150,0.00269,0.00347,0.00274,0.00338
151,0.00255,0.00465,0.00272,0.00317
152,0.0025,0.00429,0.00252,0.00377
153,0.00309,0.00441,0.00326,0.00427
154,0.00261,0.00376,0.00291,0.00376
155,0.00271,0.00369,0.00259,0.0039
156,0.00281,0.00375,0.0028,0.00426
157,0.00281,0.0034,0.00287,0.00341
158,0.00259,0.00535,0.00256,0.00241
159,0.00289,0.00394,0.00268,0.00407
160,0.00256,0.00348,0.0026,0.00342
161,0.00256,0.00355,0.00289,0.0027
162,0.00297,0.00405,0.00284,0.00389
163,0.0029,0.00437,0.00302,0.00403
164,0.00251,0.00368,0.00251,0.00445
165,0.00264,0.00448,0.00274,0.0034
166,0.00282,0.00395,0.00271,0.00434
167,0.00264,0.00346,0.00316,0.0034
168,0.00253,0.00247,0.00283,0.00514
169,0.0028,0.00421,0.00288,0.00447
170,0.00274,0.00338,0.00259,0.00338
171,0.00293,0.00349,0.00266,0.00272
172,0.00295,0.00421,0.0033,0.00341
173,0.00292,0.00512,0.00271,0.00391
174,0.00281,0.00399,0.00249,0.00393
175,0.00275,0.00427,0.00255,0.00397
176,0.00269,0.00352,0.00281,0.00403
177,0.00248,0.00344,0.00313,0.00347
178,0.0025,0.00332,0.00279,0.00413
179,0.0027,0.00349,0.00286,0.004
180,0.00274,0.00344,0.00275,0.00345
181,0.00292,0.00462,0.00261,0.00403
182,0.00305,0.00375,0.00259,0.0035
183,0.00323,0.00457,0.00293,0.00518
184,0.00257,0.00442,0.00255,0.00346
185,0.00264,0.00337,0.00265,0.00427
186,0.00285,0.00433,0.00274,0.00437
187,0.00299,0.00344,0.00283,0.00341
188,0.00247,0.00528,0.00251,0.00427
189,0.00289,0.00366,0.00278,0.0037
190,0.00263,0.00348,0.00275,0.00345
191,0.00273,0.00344,0.00286,0.0026
192,0.00305,0.00382,0.00321,0.00404
193,0.00326,0.00232,0.00289,0.00388
194,0.00292,0.00385,0.00262,0.00352
195,0.00272,0.00431,0.00266,0.00372
196,0.00265,0.00427,0.00285,0.00402
197,0.00313,0.00341,0.00284,0.00347
198,0.00274,0.00395,0.00263,0.00327
199,0.00274,0.00412,0.00288,0.00439
200,0.00257,0.00337,0.00276,0.00343
201,0.00284,0.00275,0.00253,0.00471
202,0.00247,0.00342,0.00322,0.00369
203,0.00302,0.00404,0.00263,0.00577
204,0.00281,0.00339,0.00289,0.00434
205,0.00274,0.00433,0.00263,0.0036
206,0.00263,0.00381,0.00263,0.00349
207,0.00274,0.00338,0.00309,0.00338
208,0.00266,0.00345,0.0027,0.00563
209,0.00289,0.00419,0.00265,0.00379
210,0.00259,0.00343,0.00255,0.00349
211,0.00293,0.00257,0.00262,0.00419
212,0.00282,0.00402,0.00267,0.0044
213,0.00293,0.00303,0.00319,0.00394
214,0.00286,0.00437,0.00289,0.00359
215,0.00262,0.0042,0.00273,0.00362
216,0.00279,0.00355,0.0028,0.00366
217,0.00248,0.00343,0.00265,0.00344
218,0.00271,0.00437,0.00248,0.00399
219,0.00272,0.00305,0.00274,0.00252
220,0.00267,0.00348,0.00255,0.00342
221,0.00296,0.00397,0.00286,0.00352
222,0.00296,0.00423,0.00246,0.00344
223,0.00304,0.00332,0.00264,0.00339
224,0.00263,0.00406,0.00248,0.00397
225,0.00273,0.00425,0.00268,0.00433
226,0.00269,0.00347,0.00278,0.00373
227,0.00278,0.00337,0.00301,0.00346
228,0.00277,0.00372,0.00282,0.0046
229,0.00271,0.00295,0.00293,0.004
230,0.00265,0.00339,0.00266,0.00339
231,0.00295,0.00294,0.00279,0.00367
232,0.00324,0.00402,0.00267,0.00448
233,0.00269,0.00463,0.00266,0.00568
234,0.00262,0.00415,0.00266,0.00357
235,0.00271,0.00373,0.00275,0.00379
236,0.0027,0.00421,0.00271,0.00373
237,0.00269,0.00338,0.0031,0.00349
238,0.00245,0.00542,0.00252,0.00567
239,0.00296,0.00429,0.00285,0.00365
240,0.0027,0.0034,0.00261,0.00336
